"Package","Version"
"askpass","1.2.0"
"assertthat","0.2.1"
"base","4.3.3"
"base64enc","0.1-3"
"bit","4.0.5"
"bit64","4.0.5"
"brew","1.0-10"
"brio","1.1.5"
"bslib","0.7.0"
"cachem","1.0.8"
"callr","3.7.6"
"cli","3.6.2"
"clipr","0.8.0"
"commonmark","1.9.1"
"compiler","4.3.3"
"cpp11","0.4.7"
"crayon","1.5.2"
"credentials","2.0.1"
"curl","5.1.0"
"datasets","4.3.3"
"desc","1.4.3"
"devtools","2.4.5"
"diffobj","0.3.5"
"digest","0.6.35"
"downlit","0.4.3"
"dplyr","1.1.4"
"ellipsis","0.3.2"
"evaluate","0.23"
"fansi","1.0.6"
"fastmap","1.2.0"
"fontawesome","0.5.2"
"fs","1.6.4"
"generics","0.1.3"
"gert","2.0.1"
"gh","1.4.1"
"git2r","0.33.0"
"gitcreds","0.1.2"
"glue","1.7.0"
"graphics","4.3.3"
"grDevices","4.3.3"
"grid","4.3.3"
"highr","0.10"
"hms","1.1.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.15"
"httr","1.4.7"
"httr2","1.0.1"
"ini","0.3.1"
"jquerylib","0.1.4"
"jsonlite","1.8.8"
"knitr","1.46"
"later","1.3.2"
"lifecycle","1.0.4"
"logger","0.3.0"
"magrittr","2.0.3"
"memoise","2.0.1"
"methods","4.3.3"
"mime","0.12"
"miniUI","0.1.1.1"
"openssl","2.1.2"
"parallel","4.3.3"
"pillar","1.9.0"
"pkgbuild","1.4.4"
"pkgconfig","2.0.3"
"pkgdown","2.0.9"
"pkgload","1.3.4"
"praise","1.0.0"
"prettyunits","1.2.0"
"processx","3.8.4"
"profvis","0.3.8"
"progress","1.2.3"
"promises","1.3.0"
"ps","1.7.6"
"purrr","1.0.2"
"R6","2.5.1"
"ragg","1.3.2"
"rappdirs","0.3.3"
"rcmdcheck","1.4.0"
"Rcpp","1.0.12"
"readr","2.1.5"
"rematch2","2.1.2"
"remotes","2.5.0"
"rlang","1.1.3"
"rmarkdown","2.26"
"roxygen2","7.3.1"
"rprojroot","2.0.4"
"rstudioapi","0.16.0"
"rversions","2.1.2"
"sass","0.4.9"
"sessioninfo","1.2.2"
"shiny","1.8.1.1"
"sourcetools","0.1.7-1"
"splines","4.3.3"
"stats","4.3.3"
"stats4","4.3.3"
"stringi","1.8.4"
"stringr","1.5.1"
"sys","3.4.2"
"systemfonts","1.0.5"
"tcltk","4.3.3"
"testthat","3.2.1.1"
"textshaping","0.3.7"
"tibble","3.2.1"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tinytex","0.51"
"tools","4.3.3"
"tzdb","0.4.0"
"urlchecker","1.0.1"
"usethis","2.2.3"
"utf8","1.2.4"
"utils","4.3.3"
"vctrs","0.6.5"
"vroom","1.6.5"
"waldo","0.5.2"
"whisker","0.4.1"
"withr","3.0.0"
"xfun","0.44"
"xml2","1.3.6"
"xopen","1.0.1"
"xtable","1.8-4"
"yaml","2.3.8"
"zip","2.3.1"
